"omega","psi","vx","vy","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-6.9751865e-24,-0.00038821769,-0.0042084876,-1.2467498e-05,1,0.094999999,0.5,0.094999999,0
3.9458856e-22,-0.00039243017,-0.0042125039,-1.3111695e-05,1,0.096000001,0.5,0.096000001,0
7.9615231e-22,-0.00039664266,-0.0042165202,-1.3755891e-05,1,0.097000003,0.5,0.097000003,0
1.639329e-21,-0.00040086412,-0.0042202719,-1.3147022e-05,1,0.097999997,0.5,0.097999997,0
2.7115969e-21,-0.00040509028,-0.0042238865,-1.1888133e-05,1,0.098999999,0.5,0.098999999,0
3.7838648e-21,-0.00040931645,-0.0042275011,-1.0629243e-05,1,0.1,0.5,0.1,0
4.8561326e-21,-0.00041354262,-0.0042311157,-9.3703536e-06,1,0.101,0.5,0.101,0
5.9283925e-21,-0.00041776875,-0.0042347303,-8.1114735e-06,1,0.102,0.5,0.102,0
7.0006604e-21,-0.00042199492,-0.0042383449,-6.852584e-06,1,0.103,0.5,0.103,0
8.0729283e-21,-0.00042622109,-0.0042419595,-5.5936945e-06,1,0.104,0.5,0.104,0
9.1451882e-21,-0.00043044722,-0.0042455741,-4.3348144e-06,1,0.105,0.5,0.105,0
1.0217456e-20,-0.00043467339,-0.0042491887,-3.0759249e-06,1,0.106,0.5,0.106,0
1.1289724e-20,-0.00043889956,-0.0042528033,-1.8170355e-06,1,0.107,0.5,0.107,0
1.2361992e-20,-0.00044312572,-0.0042564179,-5.5814597e-07,1,0.108,0.5,0.108,0
9.3634104e-21,-0.000447433,-0.0042613223,-4.4010462e-07,1,0.109,0.5,0.109,0
6.3448593e-21,-0.0004517407,-0.004266233,-3.2765254e-07,1,0.11,0.5,0.11,0
3.3263082e-21,-0.0004560484,-0.0042711438,-2.1520045e-07,1,0.111,0.5,0.111,0
3.0775713e-22,-0.0004603561,-0.0042760545,-1.0274837e-07,1,0.112,0.5,0.112,0
-2.7107715e-21,-0.00046466377,-0.0042809652,9.702879e-09,1,0.113,0.5,0.113,0
-5.7293225e-21,-0.00046897147,-0.004285876,1.2215496e-07,1,0.114,0.5,0.114,0
-8.7478736e-21,-0.00047327918,-0.0042907867,2.3460705e-07,1,0.115,0.5,0.115,0
-1.1766402e-20,-0.00047758685,-0.0042956974,3.470583e-07,1,0.116,0.5,0.116,0
-1.4784953e-20,-0.00048189455,-0.0043006082,4.5951038e-07,1,0.117,0.5,0.117,0
-1.7803504e-20,-0.00048620225,-0.0043055189,5.7196246e-07,1,0.118,0.5,0.118,0
-2.0822055e-20,-0.00049050995,-0.0043104297,6.8441455e-07,1,0.119,0.5,0.119,0
-2.3840584e-20,-0.00049481762,-0.0043153404,7.968658e-07,1,0.12,0.5,0.12,0
-2.6859135e-20,-0.00049912533,-0.0043202511,9.0931788e-07,1,0.121,0.5,0.121,0
-2.9877686e-20,-0.00050343303,-0.0043251619,1.02177e-06,1,0.122,0.5,0.122,0
-3.2896237e-20,-0.00050774073,-0.0043300726,1.134222e-06,1,0.123,0.5,0.123,0
-3.5914766e-20,-0.0005120484,-0.0043349833,1.2466733e-06,1,0.124,0.5,0.124,0
-3.8933317e-20,-0.0005163561,-0.0043398941,1.3591254e-06,1,0.125,0.5,0.125,0
-4.2258933e-20,-0.00052065856,-0.0043450908,1.6413265e-06,1,0.126,0.5,0.126,0
-4.558535e-20,-0.000524961,-0.0043502882,1.9239708e-06,1,0.127,0.5,0.127,0
-4.8911767e-20,-0.00052926344,-0.0043554856,2.2066151e-06,1,0.12800001,0.5,0.12800001,0
-5.2238135e-20,-0.00053356582,-0.004360683,2.4892552e-06,1,0.12899999,0.5,0.12899999,0
-5.5564552e-20,-0.00053786826,-0.0043658804,2.7718995e-06,1,0.13,0.5,0.13,0
-5.889097e-20,-0.0005421707,-0.0043710778,3.0545438e-06,1,0.131,0.5,0.131,0
-6.2217387e-20,-0.00054647315,-0.0043762752,3.337188e-06,1,0.132,0.5,0.132,0
-6.5543804e-20,-0.00055077559,-0.0043814727,3.6198323e-06,1,0.133,0.5,0.133,0
-6.6686545e-20,-0.00055510944,-0.0043868332,3.9169727e-06,1,0.134,0.5,0.134,0
-5.6622453e-20,-0.00055960448,-0.0043930311,4.2885082e-06,1,0.13500001,0.5,0.13500001,0
-4.655836e-20,-0.00056409952,-0.004399229,4.6600438e-06,1,0.13600001,0.5,0.13600001,0
-3.6494417e-20,-0.0005685945,-0.0044054268,5.0315738e-06,1,0.13699999,0.5,0.13699999,0
-2.6430324e-20,-0.00057308954,-0.0044116246,5.4031093e-06,1,0.138,0.5,0.138,0
-1.6366231e-20,-0.00057758458,-0.0044178225,5.7746448e-06,1,0.139,0.5,0.139,0
-6.3021385e-21,-0.00058207962,-0.0044240204,6.1461804e-06,1,0.14,0.5,0.14,0
3.7619544e-21,-0.00058657466,-0.0044302183,6.5177159e-06,1,0.141,0.5,0.141,0
1.3826047e-20,-0.0005910697,-0.0044364162,6.8892515e-06,1,0.142,0.5,0.142,0
2.389014e-20,-0.00059556475,-0.004442614,7.260787e-06,1,0.14300001,0.5,0.14300001,0
3.3954083e-20,-0.00060005972,-0.0044488118,7.632317e-06,1,0.14399999,0.5,0.14399999,0
4.4018176e-20,-0.00060455476,-0.0044550097,8.0038525e-06,1,0.145,0.5,0.145,0
5.4082268e-20,-0.0006090498,-0.0044612076,8.3753881e-06,1,0.146,0.5,0.146,0
6.4146361e-20,-0.00061354485,-0.0044674054,8.7469236e-06,1,0.147,0.5,0.147,0
7.5318579e-20,-0.00061800179,-0.0044730558,8.097203e-06,1,0.148,0.5,0.148,0
8.6680776e-20,-0.0006224522,-0.0044786123,7.2723971e-06,1,0.149,0.5,0.149,0
9.8042972e-20,-0.00062690261,-0.0044841687,6.4475912e-06,1,0.15000001,0.5,0.15000001,0
1.09405e-19,-0.00063135296,-0.0044897251,5.6227975e-06,1,0.15099999,0.5,0.15099999,0
1.207672e-19,-0.00063580337,-0.0044952816,4.7979916e-06,1,0.152,0.5,0.152,0
