"omega","psi","vx","vy","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.47195621,-0.010849759,-0.050020326,0.16100628,1,0.12800001,0.12800001,0.5,0
0.44026538,-0.011018895,-0.050610805,0.16162848,1,0.12899999,0.12899999,0.5,0
0.40857407,-0.011188032,-0.051201294,0.16225069,1,0.13,0.13,0.5,0
0.39503458,-0.011358397,-0.051872699,0.16280715,1,0.131,0.131,0.5,0
0.39409775,-0.011529613,-0.052600284,0.16331796,1,0.132,0.132,0.5,0
0.39316091,-0.011700828,-0.053327869,0.16382877,1,0.133,0.133,0.5,0
0.39222407,-0.011872044,-0.054055454,0.16433958,1,0.134,0.134,0.5,0
0.39128724,-0.01204326,-0.054783039,0.16485039,1,0.13500001,0.13500001,0.5,0
0.3903504,-0.012214476,-0.055510624,0.1653612,1,0.13600001,0.13600001,0.5,0
0.38941358,-0.012385689,-0.056238199,0.165872,1,0.13699999,0.13699999,0.5,0
0.38847675,-0.012556905,-0.056965784,0.16638281,1,0.138,0.138,0.5,0
0.38753991,-0.01272812,-0.057693369,0.16689362,1,0.139,0.139,0.5,0
0.38660307,-0.012899336,-0.058420954,0.16740443,1,0.14,0.14,0.5,0
0.38566624,-0.013070552,-0.059148539,0.16791525,1,0.141,0.141,0.5,0
0.3847294,-0.013241768,-0.059876125,0.16842606,1,0.142,0.142,0.5,0
0.38379257,-0.013412984,-0.06060371,0.16893687,1,0.14300001,0.14300001,0.5,0
0.38285575,-0.013584197,-0.061331284,0.16944767,1,0.14399999,0.14399999,0.5,0
0.38191891,-0.013755413,-0.062058869,0.16995848,1,0.145,0.145,0.5,0
0.38391667,-0.013924353,-0.062794974,0.17046783,1,0.146,0.146,0.5,0
0.38617552,-0.01409309,-0.063531838,0.17097706,1,0.147,0.147,0.5,0
0.38843436,-0.014261828,-0.064268701,0.17148628,1,0.148,0.148,0.5,0
0.3906932,-0.014430565,-0.065005564,0.1719955,1,0.149,0.149,0.5,0
0.39295204,-0.014599303,-0.065742428,0.17250473,1,0.15000001,0.15000001,0.5,0
0.39521085,-0.014768038,-0.06647928,0.17301394,1,0.15099999,0.15099999,0.5,0
0.39746969,-0.014936775,-0.067216143,0.17352317,1,0.152,0.152,0.5,0
0.39972854,-0.015105513,-0.067953006,0.17403239,1,0.153,0.153,0.5,0
0.40198738,-0.01527425,-0.06868987,0.17454162,1,0.154,0.154,0.5,0
0.40424622,-0.015442988,-0.069426733,0.17505084,1,0.155,0.155,0.5,0
0.40650506,-0.015611725,-0.070163596,0.17556006,1,0.156,0.156,0.5,0
0.4087639,-0.015780463,-0.070900459,0.17606929,1,0.15700001,0.15700001,0.5,0
0.41102275,-0.0159492,-0.071637323,0.17657851,1,0.15800001,0.15800001,0.5,0
0.41580997,-0.016112273,-0.072100647,0.17717781,1,0.15899999,0.15899999,0.5,0
0.4212592,-0.016273867,-0.07249237,0.17780071,1,0.16,0.16,0.5,0
0.42670843,-0.01643546,-0.072884093,0.1784236,1,0.161,0.161,0.5,0
0.39975415,-0.016608308,-0.073633773,0.17869064,1,0.162,0.162,0.5,0
0.36946353,-0.016782315,-0.07442031,0.17892104,1,0.163,0.163,0.5,0
0.33917291,-0.016956322,-0.075206846,0.17915144,1,0.164,0.164,0.5,0
0.30888229,-0.017130328,-0.075993383,0.17938184,1,0.16500001,0.16500001,0.5,0
0.28739373,-0.017309918,-0.076712691,0.17960956,1,0.16599999,0.16599999,0.5,0
0.27655793,-0.01749627,-0.077350655,0.17983404,1,0.167,0.167,0.5,0
0.26572212,-0.017682622,-0.077988619,0.18005851,1,0.168,0.168,0.5,0
0.25488632,-0.017868974,-0.078626583,0.18028299,1,0.169,0.169,0.5,0
0.24405051,-0.018055325,-0.079264547,0.18050747,1,0.17,0.17,0.5,0
0.23321471,-0.018241677,-0.07990251,0.18073195,1,0.171,0.171,0.5,0
0.2223789,-0.018428029,-0.080540474,0.18095642,1,0.17200001,0.17200001,0.5,0
0.21154326,-0.018614379,-0.081178428,0.1811809,1,0.17299999,0.17299999,0.5,0
0.20070745,-0.018800731,-0.081816392,0.18140538,1,0.17399999,0.17399999,0.5,0
0.18987164,-0.018987083,-0.082454356,0.18162985,1,0.175,0.175,0.5,0
0.17903584,-0.019173435,-0.08309232,0.18185433,1,0.176,0.176,0.5,0
0.16820003,-0.019359787,-0.083730284,0.18207881,1,0.177,0.177,0.5,0
0.15736423,-0.019546139,-0.084368247,0.18230329,1,0.178,0.178,0.5,0
0.14652842,-0.019732491,-0.085006211,0.18252777,1,0.17900001,0.17900001,0.5,0
0.13569262,-0.019918843,-0.085644175,0.18275224,1,0.18000001,0.18000001,0.5,0
0.12485697,-0.020105192,-0.086282129,0.18297672,1,0.18099999,0.18099999,0.5,0
0.11402117,-0.020291544,-0.086920093,0.1832012,1,0.182,0.182,0.5,0
0.10318536,-0.020477896,-0.087558057,0.18342567,1,0.183,0.183,0.5,0
0.092349557,-0.020664248,-0.088196021,0.18365015,1,0.184,0.184,0.5,0
0.081513751,-0.0208506,-0.088833984,0.18387463,1,0.185,0.185,0.5,0
0.070677946,-0.021036952,-0.089471948,0.18409911,1,0.186,0.186,0.5,0
0.05984214,-0.021223304,-0.090109912,0.18432359,1,0.18700001,0.18700001,0.5,0
0.049006496,-0.021409653,-0.090747866,0.18454806,1,0.18799999,0.18799999,0.5,0
0.038170691,-0.021596005,-0.09138583,0.18477254,1,0.189,0.189,0.5,0
0.027334886,-0.021782357,-0.092023794,0.18499702,1,0.19,0.19,0.5,0
0.01649908,-0.021968709,-0.092661758,0.18522149,1,0.191,0.191,0.5,0
0.0056632746,-0.022155061,-0.093299721,0.18544597,1,0.192,0.192,0.5,0
0.0094717796,-0.022337762,-0.093890232,0.18530108,1,0.193,0.193,0.5,0
0.013812111,-0.022520331,-0.094479018,0.18514278,1,0.19400001,0.19400001,0.5,0
0.018152378,-0.022702897,-0.095067796,0.18498447,1,0.19499999,0.19499999,0.5,0
0.022492709,-0.022885465,-0.095656583,0.18482617,1,0.19599999,0.19599999,0.5,0
0.026833041,-0.023068034,-0.09624537,0.18466786,1,0.197,0.197,0.5,0
0.031173372,-0.023250603,-0.096834157,0.18450956,1,0.198,0.198,0.5,0
0.035513704,-0.023433171,-0.097422943,0.18435125,1,0.199,0.199,0.5,0
0.039854035,-0.02361574,-0.09801173,0.18419295,1,0.2,0.2,0.5,0
0.044194367,-0.023798309,-0.098600517,0.18403464,1,0.20100001,0.20100001,0.5,0
0.048534698,-0.023980878,-0.099189304,0.18387633,1,0.20200001,0.20200001,0.5,0
0.052874965,-0.024163444,-0.099778081,0.18371803,1,0.20299999,0.20299999,0.5,0
0.057215296,-0.024346012,-0.10036687,0.18355973,1,0.204,0.204,0.5,0
0.061555628,-0.024528581,-0.10095565,0.18340142,1,0.205,0.205,0.5,0
0.065895959,-0.02471115,-0.10154444,0.18324311,1,0.206,0.206,0.5,0
0.070236291,-0.024893718,-0.10213323,0.18308481,1,0.207,0.207,0.5,0
0.074576622,-0.025076287,-0.10272202,0.1829265,1,0.208,0.208,0.5,0
0.078916953,-0.025258856,-0.1033108,0.1827682,1,0.20900001,0.20900001,0.5,0
0.08325722,-0.025441422,-0.10389958,0.1826099,1,0.20999999,0.20999999,0.5,0
0.087597552,-0.02562399,-0.10448837,0.18245159,1,0.211,0.211,0.5,0
0.091937883,-0.025806559,-0.10507715,0.18229328,1,0.212,0.212,0.5,0
0.096278215,-0.025989128,-0.10566594,0.18213498,1,0.213,0.213,0.5,0
0.10061855,-0.026171696,-0.10625473,0.18197667,1,0.214,0.214,0.5,0
0.10495888,-0.026354265,-0.10684351,0.18181837,1,0.215,0.215,0.5,0
0.10929921,-0.026536834,-0.1074323,0.18166006,1,0.21600001,0.21600001,0.5,0
0.11363948,-0.0267194,-0.10802108,0.18150176,1,0.21699999,0.21699999,0.5,0
0.11797981,-0.026901968,-0.10860987,0.18134345,1,0.21799999,0.21799999,0.5,0
0.12232014,-0.027084537,-0.10919865,0.18118515,1,0.219,0.219,0.5,0
0.12522935,-0.027267613,-0.10982902,0.1811356,1,0.22,0.22,0.5,0
0.12522767,-0.027451721,-0.11054398,0.18130727,1,0.221,0.221,0.5,0
0.12522599,-0.027635829,-0.11125893,0.18147894,1,0.222,0.222,0.5,0
0.12522431,-0.027819937,-0.11197388,0.18165061,1,0.223,0.223,0.5,0
0.12522263,-0.028004046,-0.11268883,0.18182227,1,0.22400001,0.22400001,0.5,0
0.12522095,-0.028188151,-0.11340378,0.18199394,1,0.22499999,0.22499999,0.5,0
0.12521926,-0.028372259,-0.11411873,0.18216561,1,0.226,0.226,0.5,0
0.12521758,-0.028556367,-0.11483368,0.18233728,1,0.227,0.227,0.5,0
0.1252159,-0.028740475,-0.11554863,0.18250894,1,0.228,0.228,0.5,0
0.12521422,-0.028924583,-0.11626359,0.18268061,1,0.229,0.229,0.5,0
0.12521254,-0.029108691,-0.11697854,0.18285228,1,0.23,0.23,0.5,0
0.12521086,-0.029292799,-0.11769349,0.18302395,1,0.23100001,0.23100001,0.5,0
0.12520918,-0.029476905,-0.11840843,0.18319562,1,0.23199999,0.23199999,0.5,0
0.1252075,-0.029661013,-0.11912339,0.18336728,1,0.233,0.233,0.5,0
0.12520582,-0.029845121,-0.11983834,0.18353895,1,0.234,0.234,0.5,0
0.12520414,-0.030029229,-0.12055329,0.18371062,1,0.235,0.235,0.5,0
0.12520246,-0.030213337,-0.12126825,0.18388229,1,0.236,0.236,0.5,0
0.12520078,-0.030397445,-0.1219832,0.18405396,1,0.237,0.237,0.5,0
0.1251991,-0.030581553,-0.12269815,0.18422562,1,0.23800001,0.23800001,0.5,0
0.12519741,-0.030765658,-0.12341309,0.18439729,1,0.23899999,0.23899999,0.5,0
0.12046431,-0.030947766,-0.12413792,0.18439256,1,0.23999999,0.23999999,0.5,0
0.10381876,-0.031124838,-0.1248876,0.18394371,1,0.241,0.241,0.5,0
0.087173207,-0.03130191,-0.12563728,0.18349486,1,0.242,0.242,0.5,0
0.070527655,-0.031478982,-0.12638696,0.18304601,1,0.243,0.243,0.5,0
0.053882103,-0.031656054,-0.12713664,0.18259716,1,0.244,0.244,0.5,0
0.037236551,-0.031833126,-0.12788632,0.18214831,1,0.245,0.245,0.5,0
0.020590999,-0.032010198,-0.128636,0.18169946,1,0.24600001,0.24600001,0.5,0
0.0039456951,-0.032187268,-0.12938567,0.18125062,1,0.24699999,0.24699999,0.5,0
-0.012699857,-0.03236434,-0.13013534,0.18080177,1,0.248,0.248,0.5,0
-0.029345409,-0.032541412,-0.13088502,0.18035292,1,0.249,0.249,0.5,0
-0.045990961,-0.032718484,-0.1316347,0.17990407,1,0.25,0.25,0.5,0
-0.062636265,-0.032895553,-0.13238437,0.17945523,1,0.25099999,0.25099999,0.5,0
-0.079282065,-0.033072628,-0.13313406,0.17900637,1,0.252,0.252,0.5,0
-0.095927369,-0.033249697,-0.13388373,0.17855753,1,0.25299999,0.25299999,0.5,0
-0.11257317,-0.033426772,-0.13463342,0.17810868,1,0.25400001,0.25400001,0.5,0
-0.12921847,-0.033603841,-0.13538309,0.17765983,1,0.255,0.255,0.5,0
-0.14586427,-0.033780916,-0.13613278,0.17721098,1,0.25600001,0.25600001,0.5,0
-0.16330544,-0.033959876,-0.13691827,0.17677251,1,0.257,0.257,0.5,0
-0.18165107,-0.034140984,-0.13774445,0.17634584,1,0.25799999,0.25799999,0.5,0
-0.19999725,-0.034322098,-0.13857066,0.17591915,1,0.259,0.259,0.5,0
-0.21834288,-0.034503207,-0.13939684,0.17549247,1,0.25999999,0.25999999,0.5,0
-0.23668905,-0.034684321,-0.14022305,0.17506578,1,0.26100001,0.26100001,0.5,0
-0.25503468,-0.034865429,-0.14104923,0.17463911,1,0.26199999,0.26199999,0.5,0
-0.27338086,-0.035046543,-0.14187544,0.17421242,1,0.26300001,0.26300001,0.5,0
-0.29172648,-0.035227652,-0.14270162,0.17378575,1,0.264,0.264,0.5,0
-0.31040028,-0.035417898,-0.14333561,0.17323011,1,0.26499999,0.26499999,0.5,0
-0.32915827,-0.03561048,-0.14392063,0.17264158,1,0.266,0.266,0.5,0
-0.32252461,-0.035781576,-0.14455574,0.17221009,1,0.26699999,0.26699999,0.5,0
-0.31466401,-0.035951639,-0.14519329,0.17178618,1,0.26800001,0.26800001,0.5,0
-0.30680365,-0.036121697,-0.14583081,0.17136227,1,0.26899999,0.26899999,0.5,0
-0.29904056,-0.036291657,-0.14646489,0.17094324,1,0.27000001,0.27000001,0.5,0
-0.29253662,-0.036460288,-0.14705413,0.17058733,1,0.271,0.271,0.5,0
-0.28603248,-0.036628925,-0.14764339,0.17023141,1,0.27200001,0.27200001,0.5,0
-0.27952854,-0.036797556,-0.14823263,0.1698755,1,0.273,0.273,0.5,0
-0.2730246,-0.036966187,-0.14882187,0.16951958,1,0.27399999,0.27399999,0.5,0
-0.26652046,-0.037134823,-0.14941113,0.16916366,1,0.27500001,0.27500001,0.5,0
-0.26001652,-0.037303454,-0.15000037,0.16880775,1,0.27599999,0.27599999,0.5,0
-0.25351239,-0.03747209,-0.15058962,0.16845183,1,0.27700001,0.27700001,0.5,0
-0.24700845,-0.037640721,-0.15117886,0.16809592,1,0.278,0.278,0.5,0
-0.24050431,-0.037809357,-0.15176812,0.16773999,1,0.27900001,0.27900001,0.5,0
-0.23400037,-0.037977988,-0.15235736,0.16738408,1,0.28,0.28,0.5,0
-0.22749643,-0.038146619,-0.1529466,0.16702817,1,0.28099999,0.28099999,0.5,0
-0.22099229,-0.038315255,-0.15353586,0.16667225,1,0.28200001,0.28200001,0.5,0
-0.21448835,-0.038483886,-0.1541251,0.16631634,1,0.28299999,0.28299999,0.5,0
-0.20798422,-0.038652522,-0.15471436,0.16596042,1,0.28400001,0.28400001,0.5,0
-0.20148028,-0.038821153,-0.1553036,0.1656045,1,0.285,0.285,0.5,0
-0.19497614,-0.03898979,-0.15589285,0.16524858,1,0.28600001,0.28600001,0.5,0
-0.1884722,-0.039158421,-0.15648209,0.16489267,1,0.287,0.287,0.5,0
-0.18196826,-0.039327052,-0.15707133,0.16453676,1,0.28799999,0.28799999,0.5,0
-0.17546412,-0.039495688,-0.15766059,0.16418084,1,0.289,0.289,0.5,0
-0.16896018,-0.039664319,-0.15824983,0.16382492,1,0.28999999,0.28999999,0.5,0
-0.16245605,-0.039832955,-0.15883909,0.163469,1,0.29100001,0.29100001,0.5,0
